APT,DATE,PHASE,N_VALID,N_VALID_MONTH,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
SBBR,2024-01-21,ARR,53792,4361,0,0,0,0,0,1,2,5,12,16,30,16,13,5,7,9,1,2,2,1,2,1,2,0,0,4
SBBR,2024-01-21,DEP,53792,4305,0,0,0,0,0,0,0,0,0,0,6,24,40,20,14,12,6,0,2,2,0,0,1,0,0,1
SBBR,2024-01-22,ARR,53792,4361,0,0,0,0,2,0,0,5,17,15,28,18,17,16,10,4,3,5,0,0,2,0,1,0,0,2
SBBR,2024-01-22,DEP,53792,4305,0,0,0,0,0,0,0,0,0,2,6,32,39,29,15,9,3,2,3,0,0,1,0,1,0,2
SBBR,2024-01-23,ARR,53792,4361,1,0,0,0,0,0,2,10,10,15,24,24,15,16,11,7,6,2,3,2,0,0,0,1,0,5
SBBR,2024-01-23,DEP,53792,4305,1,0,0,0,0,0,0,0,0,0,9,39,38,33,9,4,6,5,1,1,0,1,0,0,2,5
SBBR,2024-01-24,ARR,53792,4361,1,0,0,0,2,1,3,4,16,17,22,25,11,8,12,9,4,3,3,1,2,2,0,0,0,2
SBBR,2024-01-24,DEP,53792,4305,0,0,0,0,0,0,0,0,0,0,4,32,50,20,15,8,2,2,1,3,5,0,2,0,0,3
SBBR,2024-01-25,ARR,53792,4361,0,0,0,0,1,0,0,6,18,13,17,26,19,7,9,5,5,5,1,5,3,1,1,2,0,3
SBBR,2024-01-25,DEP,53792,4305,0,0,0,0,0,0,0,0,1,0,8,37,49,16,13,4,6,4,2,3,0,1,2,2,0,3
SBBR,2024-01-26,ARR,53792,4361,0,0,0,0,1,0,1,5,13,16,33,21,11,13,6,5,4,8,4,2,0,1,0,0,1,2
SBBR,2024-01-26,DEP,53792,4305,0,0,0,0,0,0,0,0,0,1,3,33,48,22,7,11,7,5,2,2,1,0,0,0,1,4
SBBR,2024-01-27,ARR,53792,4361,0,1,0,0,1,3,4,6,5,14,17,19,17,14,14,3,3,7,0,2,1,0,1,0,0,4
SBBR,2024-01-27,DEP,53792,4305,0,0,0,0,0,0,0,0,0,0,8,38,40,20,8,8,4,1,1,3,3,1,0,0,0,4
SBBR,2024-01-28,ARR,53792,4361,0,0,0,0,0,0,4,8,15,9,19,16,23,10,5,5,3,4,1,1,3,0,1,1,1,3
SBBR,2024-01-28,DEP,53792,4305,0,0,0,0,0,0,0,0,0,1,6,29,29,26,17,5,5,0,2,0,0,0,0,1,0,3
SBBR,2024-01-29,ARR,53792,4361,0,0,0,1,1,0,1,7,15,10,36,18,15,15,8,8,4,2,1,2,0,1,1,1,1,4
SBBR,2024-01-29,DEP,53792,4305,0,0,0,1,0,0,0,0,0,0,7,45,48,18,7,8,3,5,3,0,2,3,0,0,3,3
SBBR,2024-01-30,ARR,53792,4361,0,1,0,0,0,3,4,4,15,16,26,23,17,17,7,5,4,1,3,3,2,1,1,0,1,0
SBBR,2024-01-30,DEP,53792,4305,0,0,0,0,0,0,0,0,0,0,6,42,47,23,10,3,5,3,3,1,1,2,0,0,0,3
SBBR,2024-01-31,ARR,53792,4361,0,0,0,0,0,0,5,3,7,13,26,19,11,13,8,7,6,6,3,1,3,5,2,2,1,2
SBBR,2024-01-31,DEP,53792,4305,0,0,0,0,0,0,0,0,0,0,2,23,37,28,12,5,7,7,2,1,6,3,1,0,1,6
SBBR,2024-02-01,ARR,53792,4051,0,0,1,0,0,1,0,4,4,12,15,26,17,17,7,8,7,7,4,3,2,3,1,0,0,7
