APT,DATE,PHASE,N_VALID,N_VALID_MONTH,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
SBAR,2025-01-01,ARR,6,506,0,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
SBAR,2025-01-01,DEP,7,506,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SBAR,2025-01-02,ARR,17,506,0,0,0,0,0,0,0,0,1,2,4,2,2,2,1,1,1,0,0,1,0,0,0,0,0,0
SBAR,2025-01-02,DEP,17,506,0,0,0,0,0,0,0,0,0,1,5,6,0,2,0,2,0,0,1,0,0,0,0,0,0,0
SBAR,2025-01-03,ARR,17,506,0,0,0,0,0,0,0,0,0,0,2,3,4,1,0,2,2,1,1,1,0,0,0,0,0,0
SBAR,2025-01-03,DEP,17,506,0,0,0,0,0,0,0,0,0,1,3,3,5,3,0,0,0,1,0,1,0,0,0,0,0,0
SBAR,2025-01-04,ARR,18,506,0,0,0,0,0,0,0,2,0,2,5,3,2,1,0,1,1,1,0,0,0,0,0,0,0,0
SBAR,2025-01-04,DEP,18,506,0,0,0,0,0,0,0,0,0,1,6,3,2,2,1,1,0,1,0,1,0,0,0,0,0,0
SBAR,2025-01-05,ARR,15,506,0,0,0,0,0,0,0,0,1,3,3,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0
SBAR,2025-01-05,DEP,16,506,0,0,0,0,0,0,0,0,0,0,3,7,3,1,0,0,0,0,1,0,0,0,0,0,0,1
SBAR,2025-01-06,ARR,17,506,0,0,0,0,0,0,0,1,0,0,3,5,2,0,4,0,0,1,0,0,0,0,0,0,0,1
SBAR,2025-01-06,DEP,17,506,0,0,0,0,0,0,0,0,0,0,3,3,7,2,0,1,0,0,0,0,0,0,0,0,0,1
SBAR,2025-01-07,ARR,18,506,0,0,0,0,0,0,0,1,0,1,3,1,3,4,1,1,0,1,0,0,0,0,0,0,0,2
SBAR,2025-01-07,DEP,18,506,0,0,0,0,0,0,0,0,0,1,2,6,1,3,0,2,0,0,1,0,0,0,0,0,0,2
SBAR,2025-01-08,ARR,13,506,0,0,0,0,0,0,0,0,0,1,1,2,3,0,2,0,2,0,1,0,0,0,0,0,0,1
SBAR,2025-01-08,DEP,13,506,0,0,0,0,0,0,0,0,0,0,2,4,2,0,1,1,1,1,0,0,0,0,0,0,0,1
SBAR,2025-01-09,ARR,18,506,0,0,0,0,0,0,0,0,0,8,2,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0
SBAR,2025-01-09,DEP,18,506,0,0,0,0,0,0,0,0,0,2,3,3,5,2,2,0,1,0,0,0,0,0,0,0,0,0
SBAR,2025-01-10,ARR,16,506,0,0,0,0,0,0,0,0,0,1,4,1,3,2,2,0,1,0,1,0,0,0,1,0,0,0
SBAR,2025-01-10,DEP,16,506,0,0,0,0,0,0,0,0,0,1,4,6,0,0,1,1,1,0,0,1,0,0,0,0,0,1
SBAR,2025-01-11,ARR,18,506,0,0,0,0,0,0,0,2,1,3,4,3,0,1,0,3,0,1,0,0,0,0,0,0,0,0
SBAR,2025-01-11,DEP,17,506,0,0,0,0,0,0,0,0,0,1,6,5,3,0,0,1,1,0,0,0,0,0,0,0,0,0
SBAR,2025-01-12,ARR,16,506,0,0,0,0,0,0,0,0,2,4,5,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1
SBAR,2025-01-12,DEP,16,506,0,0,0,0,0,0,0,0,1,0,3,5,3,0,0,1,1,0,0,0,0,0,0,0,0,2
SBAR,2025-01-13,ARR,17,506,0,0,0,0,0,0,0,1,2,0,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0
SBAR,2025-01-13,DEP,17,506,0,0,0,0,0,0,0,0,0,1,3,6,3,0,2,0,1,1,0,0,0,0,0,0,0,0
SBAR,2025-01-14,ARR,18,506,0,0,0,0,0,0,0,0,1,2,3,1,2,6,1,1,0,0,0,0,0,0,1,0,0,0
SBAR,2025-01-14,DEP,18,506,0,0,0,0,0,0,0,0,0,0,3,4,7,2,0,1,0,0,0,0,0,0,1,0,0,0
SBAR,2025-01-15,ARR,15,506,0,0,0,0,0,0,0,0,0,1,2,3,3,1,1,1,0,0,2,0,0,0,0,1,0,0
SBAR,2025-01-15,DEP,15,506,0,0,0,0,0,0,0,0,0,1,2,3,2,1,2,1,1,0,0,1,0,0,0,1,0,0
SBAR,2025-01-16,ARR,18,506,0,0,0,0,0,0,0,0,0,0,5,6,1,5,0,1,0,0,0,0,0,0,0,0,0,0
SBAR,2025-01-16,DEP,18,506,0,0,0,0,0,0,0,0,0,0,1,8,4,4,1,0,0,0,0,0,0,0,0,0,0,0
SBAR,2025-01-17,ARR,16,506,0,0,0,0,0,0,0,0,0,1,2,2,2,4,1,0,2,0,0,0,1,0,0,0,0,1
SBAR,2025-01-17,DEP,16,506,0,0,0,0,0,0,0,0,0,1,3,2,5,1,0,1,0,1,0,0,1,0,0,0,0,1
SBAR,2025-01-18,ARR,18,506,0,0,0,0,0,0,0,0,0,0,2,1,4,1,1,4,2,2,0,0,0,0,1,0,0,0
SBAR,2025-01-18,DEP,18,506,0,0,0,0,0,0,0,0,0,0,3,5,2,2,2,1,0,2,0,0,0,0,1,0,0,0
SBAR,2025-01-19,ARR,16,506,0,0,0,0,0,0,0,0,0,1,1,3,2,3,2,2,0,1,0,1,0,0,0,0,0,0
SBAR,2025-01-19,DEP,15,506,0,0,0,0,0,0,0,0,0,0,2,3,4,1,2,0,0,0,0,0,0,0,1,0,0,2
SBAR,2025-01-20,ARR,17,506,0,0,0,0,0,0,0,0,0,2,0,1,6,0,3,0,1,1,2,0,0,0,0,0,0,1
SBAR,2025-01-20,DEP,17,506,0,0,0,0,0,0,0,0,0,0,3,3,2,2,1,0,0,3,1,1,0,0,0,0,0,1
SBAR,2025-01-21,ARR,17,506,0,0,0,0,0,0,0,0,0,0,3,2,3,5,3,0,0,0,1,0,0,0,0,0,0,0
SBAR,2025-01-21,DEP,17,506,0,0,0,0,0,0,0,0,0,0,2,5,5,1,1,3,0,0,0,0,0,0,0,0,0,0
SBAR,2025-01-22,ARR,15,506,0,0,0,0,0,0,0,0,1,0,2,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0
SBAR,2025-01-22,DEP,15,506,0,0,0,0,0,0,0,0,0,0,3,3,5,3,0,1,0,0,0,0,0,0,0,0,0,0
SBAR,2025-01-23,ARR,18,506,0,0,0,0,0,0,0,0,0,1,4,3,1,3,3,0,2,0,0,1,0,0,0,0,0,0
SBAR,2025-01-23,DEP,18,506,0,0,0,0,0,0,0,0,0,0,9,3,2,1,0,1,1,0,1,0,0,0,0,0,0,0
SBAR,2025-01-24,ARR,16,506,0,0,0,0,0,0,0,0,0,0,1,3,1,4,2,1,0,0,0,0,0,0,0,0,0,4
SBAR,2025-01-24,DEP,16,506,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,0,0,0,0,0,0,1,0,0,0,3
SBAR,2025-01-25,ARR,17,506,0,0,0,0,0,0,0,0,0,4,1,3,1,1,2,0,1,0,0,1,0,1,1,0,0,1
SBAR,2025-01-25,DEP,18,506,0,0,0,0,0,0,0,0,1,1,3,7,3,0,0,0,0,0,0,1,0,1,0,0,0,1
SBAR,2025-01-26,ARR,14,506,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2,1,1,1,0,1,0,0,0,0,1,0
SBAR,2025-01-26,DEP,14,506,0,0,0,0,0,0,0,0,0,0,2,0,3,3,1,1,1,2,0,0,0,0,0,0,0,1
SBAR,2025-01-27,ARR,17,506,0,0,0,0,0,0,0,0,0,1,1,6,3,2,2,0,1,1,0,0,0,0,0,0,0,0
SBAR,2025-01-27,DEP,17,506,0,0,0,0,0,0,0,0,0,2,5,2,6,1,0,0,0,1,0,0,0,0,0,0,0,0
SBAR,2025-01-28,ARR,18,506,0,0,0,0,0,0,0,0,0,3,4,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0
SBAR,2025-01-28,DEP,18,506,0,0,0,0,0,0,0,0,0,3,4,6,2,1,0,2,0,0,0,0,0,0,0,0,0,0
SBAR,2025-01-29,ARR,15,506,0,0,0,0,0,0,0,0,0,5,0,1,2,2,2,1,0,1,0,0,1,0,0,0,0,0
SBAR,2025-01-29,DEP,15,506,0,0,0,0,0,0,0,0,0,1,2,5,2,1,1,0,1,1,0,0,1,0,0,0,0,0
SBAR,2025-01-30,ARR,18,506,0,0,0,0,0,0,0,0,0,2,2,3,4,3,2,1,0,0,0,0,0,0,0,0,0,1
SBAR,2025-01-30,DEP,18,506,0,0,0,0,0,0,0,0,0,1,1,6,3,4,0,0,0,0,1,0,0,0,0,0,1,1
SBAR,2025-01-31,ARR,17,506,0,0,0,0,0,0,0,0,0,2,6,4,2,0,2,0,1,0,0,0,0,0,0,0,0,0
SBAR,2025-01-31,DEP,16,506,0,0,0,0,0,0,0,0,0,1,4,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0
SBAR,2025-02-01,ARR,17,377,0,0,0,0,0,0,0,0,1,1,0,3,3,2,3,1,0,2,0,1,0,0,0,0,0,0
SBAR,2025-02-01,DEP,17,377,0,0,0,0,0,0,0,0,0,2,2,5,2,1,0,1,2,0,2,0,0,0,0,0,0,0
SBAR,2025-02-02,ARR,14,377,0,0,0,0,0,0,0,0,1,4,2,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0
SBAR,2025-02-02,DEP,14,377,0,0,0,0,0,0,0,0,1,0,3,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0
SBAR,2025-02-03,ARR,14,377,0,0,0,0,0,0,0,0,0,1,2,2,3,1,0,3,0,0,0,0,0,0,0,1,0,1
SBAR,2025-02-03,DEP,14,377,0,0,0,0,0,0,0,0,0,0,1,5,3,0,1,0,0,0,1,0,0,0,0,0,0,3
SBAR,2025-02-04,ARR,13,377,0,0,0,0,0,0,0,0,1,0,2,2,2,0,3,0,0,0,0,0,0,1,1,0,0,1
SBAR,2025-02-04,DEP,13,377,0,0,0,0,0,0,0,0,0,0,2,4,0,3,0,0,0,2,0,0,0,0,1,0,0,1
SBAR,2025-02-05,ARR,12,377,0,0,0,0,0,0,0,0,0,1,2,1,2,3,0,1,0,0,0,0,0,0,0,0,0,2
SBAR,2025-02-05,DEP,12,377,0,0,0,0,0,0,0,0,0,0,1,2,3,3,1,0,0,0,0,0,0,0,0,0,0,2
SBAR,2025-02-06,ARR,14,377,0,0,0,0,0,0,0,0,0,1,1,4,0,2,1,1,0,0,0,0,1,1,0,0,0,2
SBAR,2025-02-06,DEP,14,377,0,0,0,0,0,0,0,0,1,0,0,3,3,1,1,0,0,1,0,0,1,1,0,0,1,1
SBAR,2025-02-07,ARR,14,377,0,0,0,0,0,0,0,0,0,1,1,3,4,4,0,0,0,1,0,0,0,0,0,0,0,0
SBAR,2025-02-07,DEP,14,377,0,0,0,0,0,0,0,0,0,0,3,5,2,3,0,1,0,0,0,0,0,0,0,0,0,0
SBAR,2025-02-08,ARR,14,377,0,0,0,0,0,0,0,0,1,1,2,1,3,4,0,0,0,2,0,0,0,0,0,0,0,0
SBAR,2025-02-08,DEP,14,377,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,1,0,0,0,0,0,0,0,0,0
SBAR,2025-02-09,ARR,13,377,0,0,0,0,0,0,0,0,2,1,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0
