APT,DATE,PHASE,N_VALID,N_VALID_MONTH,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
SBBR,2023-01-01,ARR,54573,4684,0,0,0,0,0,0,1,0,7,11,18,16,9,10,5,2,4,3,0,3,1,0,0,0,1,0
SBBR,2023-01-01,DEP,54630,4638,0,0,0,0,0,0,0,0,1,0,4,26,28,8,4,3,4,3,2,3,0,1,0,0,0,0
SBBR,2023-01-02,ARR,54573,4684,0,0,0,0,0,0,0,3,6,16,39,15,18,14,14,6,4,3,1,4,1,2,2,0,1,4
SBBR,2023-01-02,DEP,54630,4638,0,0,0,0,0,0,0,0,0,0,0,29,52,24,15,7,10,6,5,2,1,2,1,1,0,3
SBBR,2023-01-03,ARR,54573,4684,0,0,0,0,0,0,0,2,6,9,24,23,23,20,9,13,6,6,2,2,4,1,1,2,0,5
SBBR,2023-01-03,DEP,54630,4638,0,0,0,0,0,0,0,0,0,1,5,24,34,19,18,8,7,8,4,5,4,7,1,1,1,8
SBBR,2023-01-04,ARR,54573,4684,0,0,0,0,0,0,0,4,7,11,26,21,17,26,8,6,6,4,5,2,2,1,2,0,0,11
SBBR,2023-01-04,DEP,54630,4638,0,0,0,0,0,0,0,0,0,0,2,31,40,25,11,9,6,5,4,5,2,2,2,5,0,13
SBBR,2023-01-05,ARR,54573,4684,0,0,0,0,0,0,0,1,13,8,25,18,25,18,13,6,6,6,7,0,5,3,2,2,0,7
SBBR,2023-01-05,DEP,54630,4638,0,0,0,0,0,0,0,0,0,0,3,19,43,30,15,16,7,7,7,5,3,0,1,0,1,4
SBBR,2023-01-06,ARR,54573,4684,0,0,0,0,0,0,0,3,7,9,28,23,20,20,12,8,4,8,2,4,1,3,2,0,1,1
SBBR,2023-01-06,DEP,54630,4638,0,0,0,0,0,0,0,0,0,0,2,25,39,19,14,18,7,2,7,5,3,5,4,4,0,6
SBBR,2023-01-07,ARR,54573,4684,0,0,0,0,0,0,0,5,9,18,34,29,15,12,10,6,0,3,1,1,1,1,1,0,0,5
SBBR,2023-01-07,DEP,54630,4638,0,0,0,0,0,0,0,0,0,1,5,36,44,19,9,8,6,6,1,5,1,1,0,1,2,4
SBBR,2023-01-08,ARR,54573,4684,0,0,0,0,0,0,1,1,7,7,28,21,20,22,9,7,5,1,3,5,3,2,0,1,1,1
SBBR,2023-01-08,DEP,54630,4638,0,0,0,0,0,0,0,0,0,0,8,33,34,11,12,10,7,6,3,6,3,4,3,0,1,6
SBBR,2023-01-09,ARR,54573,4684,0,0,0,0,0,0,0,1,5,11,28,29,23,20,10,6,4,2,4,3,1,1,2,0,0,2
SBBR,2023-01-09,DEP,54630,4638,0,0,0,0,0,0,0,0,0,0,2,32,44,24,11,9,4,6,9,3,1,3,0,1,0,3
SBBR,2023-01-10,ARR,54573,4684,0,0,0,0,0,0,0,1,6,13,20,20,27,25,10,6,5,4,5,3,4,3,1,1,0,4
SBBR,2023-01-10,DEP,54630,4638,0,0,0,0,0,0,0,0,0,0,2,27,41,20,13,7,11,2,2,1,3,4,0,1,1,7
SBBR,2023-01-11,ARR,54573,4684,0,0,0,0,0,0,1,5,7,17,21,27,21,16,9,6,9,0,2,1,2,1,1,3,2,1
SBBR,2023-01-11,DEP,54630,4638,0,0,0,0,0,0,0,0,0,0,4,33,42,25,12,11,12,3,5,0,6,1,1,0,0,5
SBBR,2023-01-12,ARR,54573,4684,0,0,0,0,0,0,2,2,11,9,30,20,24,12,12,8,5,5,5,4,3,1,0,0,0,3
SBBR,2023-01-12,DEP,54630,4638,1,0,0,0,0,0,0,0,0,0,2,31,51,18,11,8,7,5,2,2,1,0,0,0,0,4
SBBR,2023-01-13,ARR,54573,4684,0,0,0,0,0,0,0,3,8,11,25,30,22,21,13,9,4,3,1,2,0,1,3,1,0,2
SBBR,2023-01-13,DEP,54630,4638,0,0,0,0,0,0,0,0,0,0,2,38,48,25,11,6,8,6,4,3,4,1,0,1,1,1
SBBR,2023-01-14,ARR,54573,4684,0,0,0,0,0,0,1,3,10,17,30,20,22,10,6,4,3,2,2,2,2,2,0,1,1,5
SBBR,2023-01-14,DEP,54630,4638,0,0,0,0,0,0,0,0,0,0,7,30,32,22,9,9,4,2,4,3,1,2,1,2,0,4
SBBR,2023-01-15,ARR,54573,4684,0,0,0,0,0,0,1,4,17,15,22,23,20,10,9,3,4,2,0,3,0,2,1,0,0,3
SBBR,2023-01-15,DEP,54630,4638,0,0,0,0,0,0,0,0,0,0,6,35,36,23,10,7,4,7,2,1,1,2,3,3,1,3
SBBR,2023-01-16,ARR,54573,4684,0,0,0,0,0,0,0,2,11,15,35,25,17,11,11,9,6,1,4,2,2,1,0,1,0,8
SBBR,2023-01-16,DEP,54630,4638,0,0,0,0,0,0,0,0,0,0,5,31,45,23,12,5,8,3,4,1,3,5,2,0,2,7
SBBR,2023-01-17,ARR,54573,4684,0,0,0,0,0,0,1,2,10,16,23,24,22,19,12,6,7,4,1,2,1,0,2,0,0,5
SBBR,2023-01-17,DEP,54630,4638,0,0,0,0,0,0,0,1,0,0,6,30,40,28,12,8,8,6,3,4,2,0,1,3,1,3
SBBR,2023-01-18,ARR,54573,4684,0,0,0,0,0,0,1,4,13,14,30,24,14,12,8,7,6,6,3,0,1,2,0,1,1,7
SBBR,2023-01-18,DEP,54630,4638,0,0,0,0,0,0,0,0,1,0,7,36,42,20,11,10,3,4,5,2,7,1,1,1,0,5
SBBR,2023-01-19,ARR,54573,4684,0,0,0,0,1,0,0,4,11,11,23,31,21,10,11,9,5,4,5,6,1,0,0,0,0,3
SBBR,2023-01-19,DEP,54630,4638,1,0,0,0,0,0,0,1,0,0,3,33,55,21,13,6,8,3,1,1,2,3,2,0,0,3
SBBR,2023-01-20,ARR,54573,4684,0,0,0,0,0,0,0,2,7,14,25,24,17,16,19,3,2,10,2,3,1,3,0,0,0,5
SBBR,2023-01-20,DEP,54630,4638,0,0,0,0,0,0,0,0,0,1,3,28,51,24,12,6,6,6,3,0,3,4,1,1,3,4
SBBR,2023-01-21,ARR,54573,4684,0,0,0,0,0,0,1,3,8,15,14,34,18,10,7,10,3,8,3,1,2,3,1,2,2,2
SBBR,2023-01-21,DEP,54630,4638,0,0,0,0,0,0,0,0,0,0,4,34,33,21,10,11,6,8,2,2,2,1,1,0,1,7
SBBR,2023-01-22,ARR,54573,4684,0,0,0,0,0,0,1,3,10,17,15,23,22,11,10,7,2,2,4,2,3,1,2,0,0,4
SBBR,2023-01-22,DEP,54630,4638,0,0,0,0,0,0,0,0,0,0,5,27,46,21,12,7,6,1,1,2,1,2,1,2,0,5
SBBR,2023-01-23,ARR,54573,4684,0,0,0,0,0,0,0,1,5,10,34,20,25,16,12,9,7,4,2,4,1,1,2,0,0,5
SBBR,2023-01-23,DEP,54630,4638,0,0,0,0,0,0,0,0,0,0,6,24,49,19,15,9,7,5,7,7,2,2,2,0,1,3
SBBR,2023-01-24,ARR,54573,4684,0,0,0,0,0,0,0,2,8,8,33,25,19,14,10,12,1,5,1,2,1,1,0,0,1,7
